주소,재산피해소계
강원도 강릉시 강동면,71110
강원도 강릉시 구정면,3109
강원도 강릉시 난곡동,442
강원도 강릉시 대전동,34471631
강원도 강릉시 사천면,9254
강원도 강릉시 연곡면,54468
강원도 강릉시 옥계면,45863
강원도 강릉시 월호평동,61543
강원도 강릉시 주문진읍,821
강원도 강릉시 죽헌동,41
강원도 강릉시 포남동,26
강원도 고성군 죽왕면,73
강원도 고성군 토성면,1991
강원도 동해시 발한동,2065
강원도 동해시 이로동,1429
강원도 동해시 천곡동,3207
강원도 동해시 초구동,1298
강원도 삼척시 가곡면,2856
강원도 삼척시 미로면,326
강원도 삼척시 오분동,107
강원도 삼척시 원덕읍,65800
강원도 삼척시 하장면,1694
강원도 속초시 금호동,1111
강원도 속초시 노학동,22149
강원도 속초시 청호동,5403
강원도 양구군 남면,3958
강원도 양구군 동면,12
강원도 양구군 해안면,27877
강원도 양양군 강현면,17549
강원도 양양군 서면,98647
강원도 양양군 손양면,26984
강원도 양양군 양양읍,691
강원도 양양군 현남면,2577
강원도 영월군 북면,571
강원도 영월군 상동읍,9949
강원도 영월군 영월읍,79722
강원도 영월군 주천면,1479
강원도 영월군 중동면,135
강원도 영월군 한반도면,211
강원도 원주시 가현동,146
강원도 원주시 관설동,805
강원도 원주시 귀래면,2948
강원도 원주시 단계동,115
강원도 원주시 문막읍,26848
강원도 원주시 소초면,7244
강원도 원주시 신림면,1528
강원도 원주시 우산동,18785
강원도 원주시 지정면,120941
강원도 원주시 태장동,852
강원도 원주시 판부면,1331
강원도 원주시 호저면,192274
강원도 인제군 북면,59508
강원도 인제군 상남면,5544
강원도 인제군 인제읍,67
강원도 정선군 북평면,24737
강원도 정선군 사북읍,1474
강원도 정선군 신동읍,13829
강원도 정선군 여량면,7635
강원도 정선군 임계면,1541
강원도 철원군 갈말읍,50550
강원도 철원군 근남면,13221
강원도 철원군 김화읍,787207
강원도 철원군 동송읍,69436
강원도 철원군 서면,9487
강원도 철원군 철원읍,831
강원도 춘천시 근화동,2355
강원도 춘천시 남면,49200
강원도 춘천시 남산면,512045
강원도 춘천시 동내면,25853
강원도 춘천시 동면,12348
강원도 춘천시 동산면,74243
강원도 춘천시 사농동,18797
강원도 춘천시 사북면,46023
강원도 춘천시 서면,37195
강원도 춘천시 신동,1968
강원도 춘천시 신동면,17830
강원도 춘천시 신북읍,4536
강원도 춘천시 칠전동,4
강원도 춘천시 후평동,325
강원도 태백시 백산동,0
강원도 태백시 철암동,70
강원도 태백시 황지동,5386
강원도 평창군 미탄면,5585571
강원도 평창군 방림면,44
강원도 평창군 봉평면,7300
강원도 평창군 용평면,21184
강원도 평창군 진부면,17245
강원도 홍천군 남면,94911
강원도 홍천군 내면,38196
강원도 홍천군 동면,4164
강원도 홍천군 두촌면,53
강원도 홍천군 북방면,154770
강원도 홍천군 홍천읍,2603
강원도 홍천군 화촌면,7798
강원도 화천군 간동면,275
강원도 화천군 사내면,8063
강원도 화천군 상서면,25681
강원도 화천군 화천읍,2529
강원도 횡성군 갑천면,131145
강원도 횡성군 강림면,16048
강원도 횡성군 공근면,38315
강원도 횡성군 서원면,238486
강원도 횡성군 안흥면,1073
강원도 횡성군 우천면,54839
강원도 횡성군 횡성읍,1612210
경기도 가평군 가평읍,145291
경기도 가평군 상면,15737
경기도 가평군 설악면,3359
경기도 가평군 조종면,51420
경기도 가평군 청평면,3072
경기도 고양시덕양구 강매동,4689
경기도 고양시덕양구 관산동,5540
경기도 고양시덕양구 내곡동,1713
경기도 고양시덕양구 내유동,376
경기도 고양시덕양구 대자동,118906
경기도 고양시덕양구 대장동,133
경기도 고양시덕양구 덕은동,201801
경기도 고양시덕양구 도내동,2916
경기도 고양시덕양구 벽제동,1333
경기도 고양시덕양구 선유동,128
경기도 고양시덕양구 성사동,1342
경기도 고양시덕양구 오금동,5324
경기도 고양시덕양구 용두동,59450
경기도 고양시덕양구 행주내동,3498
경기도 고양시덕양구 행주외동,2696
경기도 고양시덕양구 현천동,11924
경기도 고양시덕양구 화전동,4716
경기도 고양시일산동구 문봉동,110906
경기도 고양시일산동구 설문동,2313764
경기도 고양시일산동구 성석동,1651096
